timestamp;x (in G's);y (in G's);z (in G's)
1600601983.917986;-0.111343;-0.154419;-0.850433
1600601983.937397;-0.109283;-0.161453;-0.846359
1600601983.956805;-0.083191;-0.159515;-0.870071
1600601983.976244;-0.065186;-0.151901;-0.916000
1600601983.995654;-0.068756;-0.145630;-0.942459
1600601984.015064;-0.070816;-0.152924;-0.948441
1600601984.034503;-0.064362;-0.157684;-0.942581
1600601984.053912;-0.075317;-0.165070;-0.951065
1600601984.073321;-0.093475;-0.183060;-0.966888
1600601984.092719;-0.104172;-0.201279;-0.996338
1600601984.112128;-0.111496;-0.203415;-1.031921
1600601984.131537;-0.129807;-0.174866;-1.045502
1600601984.150977;-0.131729;-0.163773;-1.042435
1600601984.170386;-0.132019;-0.156998;-1.024078
1600601984.189826;-0.145508;-0.139801;-1.013885
1600601984.209235;-0.166718;-0.114929;-1.001755
1600601984.228644;-0.147476;-0.128693;-0.950195
1600601984.248084;-0.105682;-0.140854;-0.897598
1600601984.267493;-0.063004;-0.094498;-0.932022
1600601984.286902;0.010925;-0.097687;-1.000366
1600601984.306342;0.070038;-0.064880;-1.070328
1600601984.325751;0.047379;-0.007126;-1.131577
1600601984.345160;0.005432;0.071671;-1.201187
1600601984.364600;-0.010345;0.091019;-1.230743
1600601984.384009;0.034103;0.039169;-1.180695
1600601984.403418;0.063705;-0.026260;-1.044891
1600601984.422827;0.042511;-0.060669;-0.925339
1600601984.442267;0.003601;-0.095444;-0.860489
1600601984.461676;-0.018570;-0.138489;-0.850861
1600601984.481085;-0.040482;-0.121735;-0.890533
1600601984.500525;-0.043793;-0.083847;-0.959778
1600601984.519934;-0.030014;-0.047806;-1.015427
1600601984.539343;0.012009;-0.043961;-1.040268
1600601984.558753;0.061737;-0.042679;-1.044830
1600601984.578192;0.076370;-0.042160;-1.021912
1600601984.597601;0.077713;-0.049438;-0.991516
1600601984.617041;0.068695;-0.075745;-0.958923
1600601984.636450;0.038239;-0.101456;-0.945969
1600601984.655859;0.017166;-0.112717;-0.944901
1600601984.675299;0.024261;-0.123306;-0.945267
1600601984.694708;0.043793;-0.122131;-0.929077
1600601984.714118;0.053299;-0.128937;-0.913712
1600601984.733557;0.048065;-0.141129;-0.901367
1600601984.752966;0.035873;-0.163193;-0.904037
1600601984.772376;0.042725;-0.178192;-0.909561
1600601984.791815;0.051529;-0.188644;-0.908417
1600601984.811224;0.048279;-0.200363;-0.902008
1600601984.830664;0.043747;-0.216965;-0.915009
1600601984.850073;0.059250;-0.219971;-0.948395
1600601984.869483;0.066849;-0.198807;-0.986893
1600601984.888922;0.078659;-0.186295;-1.028351
1600601984.908331;0.091492;-0.175674;-1.050110
1600601984.927771;0.081345;-0.161926;-1.064545
1600601984.947180;0.077499;-0.151367;-1.050049
1600601984.966589;0.084747;-0.167679;-1.014267
1600601984.986029;0.106537;-0.169876;-0.979492
1600601985.005438;0.111069;-0.160995;-0.970062
1600601985.024878;0.083725;-0.156830;-0.980026
1600601985.044287;0.055283;-0.141281;-1.003494
1600601985.063696;0.009216;-0.121124;-1.009674
1600601985.083136;-0.033051;-0.072403;-1.035904
1600601985.102513;-0.046539;-0.059189;-1.106674
1600601985.121953;-0.046463;-0.044510;-1.134811
1600601985.141361;-0.070480;-0.055969;-1.101761
1600601985.160802;-0.103516;-0.076324;-0.998840
1600601985.180211;-0.132523;-0.086853;-0.902817
1600601985.199651;-0.115814;-0.104095;-0.869629
1600601985.219059;-0.106537;-0.112411;-0.894821
