timestamp;x (in radians/s);y (in radians/s);z (in radians/s)
1603186400.324919;-0.143042;0.011210;-0.111552
1603186400.334898;-0.152903;-0.032357;-0.137401
1603186400.344908;-0.177781;-0.065491;-0.153679
1603186400.354887;-0.209863;-0.071931;-0.153727
1603186400.364897;-0.233840;-0.060604;-0.141884
1603186400.374907;-0.240957;-0.037663;-0.123083
1603186400.384886;-0.231730;-0.016414;-0.098661
1603186400.394896;-0.208839;-0.007510;-0.075248
1603186400.404875;-0.177280;-0.024827;-0.062467
1603186400.414885;-0.151523;-0.060035;-0.067467
1603186400.424864;-0.136500;-0.094609;-0.080707
1603186400.434874;-0.126292;-0.105177;-0.094704
1603186400.444883;-0.116359;-0.090594;-0.102152
1603186400.454863;-0.100775;-0.069204;-0.101638
1603186400.464872;-0.078192;-0.057027;-0.094033
1603186400.474852;-0.053417;-0.050042;-0.079264
1603186400.484861;-0.018976;-0.062443;-0.054896
1603186400.494871;0.004748;-0.066795;-0.039219
1603186400.504850;0.010485;-0.068613;-0.032093
1603186400.514860;-0.006804;-0.076782;-0.042518
1603186400.524839;-0.044400;-0.076913;-0.067620
1603186400.534849;-0.092744;-0.077550;-0.086966
1603186400.544859;-0.128971;-0.070907;-0.086915
1603186400.554838;-0.138319;-0.053237;-0.071321
1603186400.564847;-0.115438;-0.042572;-0.044155
1603186400.574826;-0.052539;-0.053960;-0.006301
1603186400.584836;0.035848;-0.070768;0.034187
1603186400.594846;0.148364;-0.094334;0.078564
1603186400.604825;0.261398;-0.115470;0.129522
1603186400.614836;0.359966;-0.152701;0.180582
1603186400.624815;0.404060;-0.204503;0.203874
1603186400.634825;0.363044;-0.254563;0.165130
1603186400.644835;0.235719;-0.271406;0.069124
1603186400.654814;0.046193;-0.269111;-0.049423
1603186400.664824;-0.150214;-0.240636;-0.135863
1603186400.674803;-0.291469;-0.170123;-0.155978
1603186400.684813;-0.358200;-0.083593;-0.110887
1603186400.694822;-0.354815;-0.043425;-0.039663
1603186400.704802;-0.301351;0.036586;0.017424
1603186400.714811;-0.222504;0.084858;0.046351
1603186400.724791;-0.130671;0.081856;0.045913
1603186400.734800;-0.015174;0.091385;0.031713
1603186400.744810;0.127204;0.071962;0.020695
1603186400.754789;0.291241;0.061694;0.016150
1603186400.764799;0.434668;0.048564;0.014103
1603186400.774778;0.530627;0.038073;0.009825
1603186400.784788;0.552356;0.038953;0.002235
1603186400.794798;0.501887;0.046786;-0.008158
1603186400.804777;0.395742;0.072644;-0.019762
1603186400.814787;0.249341;0.089361;-0.040646
1603186400.824766;0.095511;0.100784;-0.073616
1603186400.834723;-0.038878;0.124924;-0.117581
1603186400.844733;-0.132205;0.162403;-0.161719
1603186400.854712;-0.174480;0.185795;-0.199127
1603186400.864722;-0.176342;0.193032;-0.225176
1603186400.874701;-0.145426;0.182346;-0.237278
1603186400.884712;-0.103313;0.147303;-0.248057
1603186400.894721;-0.068153;0.111925;-0.264206
1603186400.904701;-0.053079;0.074842;-0.286288
1603186400.914710;-0.062623;0.048574;-0.300721
1603186400.924690;-0.087974;0.046515;-0.297508
1603186400.934700;-0.116646;0.057631;-0.266348
1603186400.944708;-0.133712;0.082556;-0.200688
1603186400.954689;-0.126204;0.127475;-0.109995
1603186400.964697;-0.094225;0.171116;-0.020662
1603186400.974678;-0.042818;0.198143;0.046746
1603186400.984686;0.010196;0.202201;0.082509
1603186400.994696;0.045278;0.166358;0.090347
1603186401.004675;0.058757;0.107959;0.076854
1603186401.014685;0.043501;0.030505;0.056305
1603186401.024664;0.003896;-0.026946;0.039310
1603186401.034674;-0.045382;-0.050032;0.026043
1603186401.044684;-0.092810;-0.038425;0.025933
1603186401.054663;-0.128541;-0.008545;0.033546
1603186401.064673;-0.149897;0.000994;0.051688
1603186401.074652;-0.160785;-0.010443;0.068059
1603186401.084662;-0.164895;-0.027393;0.066842
1603186401.094672;-0.172948;-0.048594;0.039899
1603186401.104651;-0.184634;-0.064934;-0.015215
1603186401.114661;-0.197867;-0.070394;-0.075767
1603186401.124640;-0.207357;-0.067561;-0.115776
1603186401.134650;-0.206839;-0.052287;-0.112424
1603186401.144660;-0.201276;-0.027565;-0.076181
1603186401.154639;-0.196249;-0.008045;-0.020770
1603186401.164649;-0.192126;0.008230;0.040514
1603186401.174628;-0.173528;0.029773;0.098568
1603186401.184638;-0.130136;0.060333;0.140278
1603186401.194648;-0.064114;0.085424;0.166156
1603186401.204627;0.012752;0.079720;0.170266
1603186401.214637;0.074157;0.037498;0.158316
1603186401.224616;0.103065;-0.015272;0.135608
1603186401.234626;0.103564;-0.053499;0.108128
1603186401.244635;0.086271;-0.073914;0.087774
1603186401.254614;0.064229;-0.063657;0.072413
1603186401.264624;0.047130;-0.028211;0.072001
1603186401.274603;0.052236;0.008228;0.094615
1603186401.284613;0.082830;0.029942;0.135050
1603186401.294623;0.158067;0.090492;0.181917
1603186401.304602;0.266517;0.137995;0.232232
1603186401.314612;0.397911;0.162955;0.283739
1603186401.324591;0.510933;0.142499;0.324558
1603186401.334601;0.560280;0.048724;0.332927
1603186401.344611;0.523751;-0.069734;0.291536
1603186401.354590;0.385326;-0.182644;0.195817
1603186401.364600;0.163949;-0.272545;0.061305
1603186401.374579;-0.085049;-0.283610;-0.071758
1603186401.384589;-0.276420;-0.211995;-0.151961
1603186401.394598;-0.372725;-0.106040;-0.167024
1603186401.404578;-0.377658;-0.022744;-0.132132
1603186401.414587;-0.307985;0.043138;-0.078897
1603186401.424567;-0.186532;0.082913;-0.018924
1603186401.434577;-0.057863;0.091502;0.031249
1603186401.444587;0.071525;0.114023;0.059747
1603186401.454566;0.183495;0.142906;0.070886
1603186401.464576;0.260238;0.154630;0.069440
1603186401.474555;0.301769;0.156903;0.066644
1603186401.484565;0.309587;0.136963;0.072684
1603186401.494575;0.297109;0.107299;0.095303
1603186401.504554;0.261885;0.070741;0.122963
1603186401.514564;0.200256;0.035402;0.139009
1603186401.524543;0.118670;0.019018;0.126881
1603186401.534553;0.028784;0.009677;0.080685
1603186401.544563;-0.053718;-0.004596;0.018439
1603186401.554541;-0.110463;-0.019848;-0.037615
1603186401.564551;-0.129545;-0.030870;-0.069945
1603186401.574530;-0.112449;-0.028326;-0.072924
1603186401.584540;-0.076683;-0.018914;-0.062670
1603186401.594550;-0.028567;-0.020641;-0.049326
1603186401.604529;0.015654;-0.013406;-0.043700
1603186401.614539;0.049012;0.001666;-0.044201
1603186401.624518;0.065697;0.011805;-0.040865
1603186401.634528;0.059414;0.013270;-0.032523
1603186401.644537;0.037557;0.013480;-0.018698
1603186401.654517;-0.001071;0.007707;-0.009142
1603186401.664526;-0.047654;0.000718;-0.007808
1603186401.674506;-0.094547;0.000125;-0.024754
1603186401.684515;-0.130559;0.007576;-0.056075
1603186401.694495;-0.158936;0.008779;-0.095280
1603186401.704504;-0.168104;0.006532;-0.136862
1603186401.714514;-0.170438;-0.020823;-0.166465
1603186401.724494;-0.161988;-0.041269;-0.173564
1603186401.734504;-0.148304;-0.043635;-0.151578
1603186401.744483;-0.134282;-0.039623;-0.113297
1603186401.754493;-0.119674;-0.018523;-0.074579
1603186401.764503;-0.107749;-0.001188;-0.054314
1603186401.774482;-0.098447;-0.003842;-0.059932
1603186401.784492;-0.089377;-0.018232;-0.083503
1603186401.794471;-0.082238;-0.040566;-0.109835
1603186401.804481;-0.072586;-0.064230;-0.118482
1603186401.814491;-0.062430;-0.069646;-0.112968
1603186401.824470;-0.055049;-0.051435;-0.097260
1603186401.834436;-0.054856;-0.026811;-0.092045
1603186401.844415;-0.064895;-0.003037;-0.098518
1603186401.854425;-0.076148;0.011007;-0.122905
1603186401.864435;-0.076506;0.010196;-0.150336
1603186401.874414;-0.062457;-0.006349;-0.167918
1603186401.884424;-0.032028;-0.027182;-0.166408
1603186401.894403;0.001618;-0.042322;-0.144654
1603186401.904413;0.033226;-0.033316;-0.117764
1603186401.914422;0.055038;-0.011368;-0.089236
1603186401.924402;0.057517;0.014105;-0.069820
1603186401.934411;0.043662;0.043742;-0.061376
1603186401.944391;0.021406;0.061266;-0.068172
1603186401.954400;0.003412;0.070395;-0.086155
1603186401.964410;0.000297;0.077855;-0.104947
1603186401.974389;0.019080;0.062321;-0.108943
1603186401.984399;0.057241;0.035173;-0.085456
1603186401.994378;0.112033;0.013134;-0.029967
1603186402.004388;0.184954;0.001449;0.049866
1603186402.014398;0.253643;-0.005677;0.134126
1603186402.024377;0.295369;-0.030163;0.193085
1603186402.034387;0.278850;-0.094274;0.194626
1603186402.044366;0.196188;-0.144890;0.123857
1603186402.054376;0.063605;-0.154891;0.014858
1603186402.064386;-0.096835;-0.134578;-0.096722
1603186402.074365;-0.266393;-0.110538;-0.178971
1603186402.084375;-0.407688;-0.083329;-0.218523
1603186402.094354;-0.495771;-0.064550;-0.222681
1603186402.104364;-0.523608;-0.050782;-0.211304
1603186402.114374;-0.491051;-0.033961;-0.209859
1603186402.124353;-0.414897;-0.020075;-0.208687
1603186402.134363;-0.296473;-0.017637;-0.183865
1603186402.144342;-0.141367;-0.006751;-0.112181
1603186402.154352;0.044628;0.034665;0.000068
1603186402.164361;0.238663;0.071508;0.126360
1603186402.174341;0.395313;0.070648;0.233668
1603186402.184350;0.481638;0.029908;0.281985
1603186402.194330;0.478873;-0.034037;0.261572
1603186402.204339;0.392817;-0.060491;0.197235
1603186402.214349;0.251077;-0.046047;0.118782
1603186402.224328;0.085927;0.002351;0.054093
1603186402.234338;-0.064706;0.071004;0.007868
1603186402.244317;-0.171741;0.145291;-0.017878
1603186402.254327;-0.214853;0.203077;-0.025748
1603186402.264337;-0.207053;0.218700;-0.035722
1603186402.274316;-0.170349;0.199968;-0.062834
1603186402.284326;-0.132788;0.151884;-0.113731
1603186402.294305;-0.106381;0.118313;-0.177222
1603186402.304315;-0.082049;0.116887;-0.218642
1603186402.314325;-0.059981;0.139429;-0.214183
1603186402.324304;-0.038839;0.167840;-0.168671
1603186402.334314;-0.018713;0.190955;-0.091154
