timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1603186442.502629;78.569153;207.134033;-440.001404
1603186442.512639;79.213837;207.306458;-440.116028
1603186442.522618;78.546356;207.124298;-439.711639
1603186442.532628;78.833817;207.164169;-440.084808
1603186442.542607;78.203934;206.852966;-440.051086
1603186442.552617;78.149338;206.747025;-440.081238
1603186442.562596;78.788788;206.743103;-440.289490
1603186442.572575;77.525528;206.664429;-439.930969
1603186442.582554;77.973587;206.704132;-439.883118
1603186442.592564;77.366364;206.767471;-439.997009
1603186442.602543;77.666931;206.857941;-439.950500
1603186442.612523;77.917572;207.094406;-439.957031
1603186442.622502;77.476196;207.145462;-439.718140
1603186442.632481;77.345108;207.024216;-439.897888
1603186442.642460;77.271790;207.124832;-439.942078
1603186442.652470;76.900162;207.220718;-439.885376
1603186442.662449;77.893219;207.212646;-440.221863
1603186442.672429;77.269638;207.193390;-439.761414
1603186442.682408;77.386795;207.138321;-439.498779
1603186442.692387;77.411591;207.132965;-439.776184
1603186442.702397;77.087173;207.137573;-439.549438
1603186442.712376;77.602722;207.343658;-439.674866
1603186442.722355;76.781998;207.404572;-439.390198
1603186442.732335;76.741592;207.356934;-439.579285
1603186442.742314;76.476898;207.537308;-439.226929
1603186442.752293;76.415741;207.561630;-438.904327
1603186442.762303;76.975296;207.551300;-439.466248
1603186442.772282;76.298737;207.469055;-438.849365
1603186442.782261;76.467606;207.581406;-438.905701
1603186442.792241;76.654999;207.376297;-439.003662
1603186442.802220;76.856323;207.649399;-439.095032
1603186442.812230;77.553024;207.528580;-439.771606
1603186442.822209;76.771362;207.378754;-439.152832
1603186442.832188;76.615540;207.330460;-439.067749
1603186442.842167;76.873245;207.543991;-438.912415
1603186442.852147;76.755081;207.470276;-439.202332
1603186442.862126;77.870316;207.460434;-439.255493
1603186442.872136;76.662140;207.505524;-439.186523
1603186442.882066;76.621613;207.534866;-438.887817
1603186442.892045;76.981552;207.632111;-438.909363
1603186442.902025;76.756027;207.815094;-438.923004
1603186442.912035;77.251465;207.899918;-438.992462
1603186442.922045;76.736084;207.630737;-439.037018
1603186442.932024;76.915131;207.573868;-438.762207
1603186442.942034;77.457626;207.635254;-438.912354
1603186442.952013;77.114883;207.760498;-438.960266
1603186442.961993;77.778137;207.887589;-439.332031
1603186442.971972;76.632202;207.882828;-438.944580
1603186442.981982;76.997025;207.635010;-438.862518
1603186442.991961;76.924179;207.887939;-438.999634
1603186443.001940;76.650177;207.576248;-438.840454
1603186443.011919;77.305786;207.914703;-438.911072
1603186443.021929;77.250061;207.756363;-438.840759
1603186443.031908;76.601608;207.416641;-439.089233
1603186443.041888;76.786758;207.468857;-439.118439
1603186443.051867;77.468018;207.597672;-439.169250
1603186443.061877;77.863998;207.667221;-439.419922
1603186443.071856;77.098846;207.523636;-439.054199
1603186443.081835;76.996674;207.444275;-439.166992
1603186443.091814;77.133224;207.403519;-439.050262
1603186443.101794;77.128342;207.529968;-439.059265
1603186443.111803;77.682510;207.886398;-439.452789
1603186443.121783;77.422989;207.479797;-439.217712
1603186443.131762;77.037399;207.379761;-439.358948
1603186443.141741;77.439392;207.551270;-439.132874
1603186443.151720;77.278122;207.249359;-439.485535
1603186443.161730;78.260101;207.345413;-439.820007
1603186443.171709;77.743393;207.149948;-439.526337
1603186443.181689;77.591324;207.150040;-439.486084
1603186443.191698;77.866776;207.105957;-439.499939
1603186443.201678;77.894073;207.135300;-439.444427
1603186443.211657;78.516479;207.500977;-439.554749
1603186443.221636;77.799866;207.411926;-438.878693
1603186443.231646;78.120239;207.548676;-439.392700
1603186443.241625;77.575668;207.722458;-439.080994
1603186443.251604;78.059998;207.772675;-438.808167
1603186443.261584;79.009537;207.600662;-439.013275
1603186443.271563;78.000656;207.546158;-439.220276
1603186443.281542;77.780518;207.660019;-438.838257
1603186443.291521;77.752594;207.541458;-438.953522
1603186443.301531;78.342728;207.810242;-439.031464
1603186443.311510;79.027328;207.770889;-439.267822
1603186443.321490;78.574432;207.785538;-439.350647
1603186443.331469;78.501144;207.599213;-439.287476
1603186443.341448;78.603897;207.410522;-439.024750
1603186443.351427;78.602493;207.470413;-439.619080
1603186443.361437;79.585373;207.320038;-439.703796
1603186443.371416;78.645752;207.102982;-439.543274
1603186443.381396;78.791290;206.773895;-439.453369
1603186443.391375;78.843674;206.855270;-439.503723
1603186443.401354;79.165314;206.744385;-439.551025
1603186443.411333;79.663620;206.939651;-439.676208
1603186443.421313;78.823837;207.125275;-439.483704
1603186443.431322;78.749573;207.112701;-439.728027
1603186443.441302;78.777878;206.990570;-439.677856
1603186443.451281;78.997055;206.905029;-439.821777
1603186443.461260;79.261414;206.735138;-439.967651
1603186443.471239;79.335281;207.009506;-439.704651
1603186443.481219;78.795929;207.050674;-439.802002
